City Name,Temperature,Weather Condition
Accra,24 °C,Broken clouds. Mild.
Edmonton,13 °C,Clear. Cool.
Nassau,28 °C,Passing clouds. Warm.
Addis Ababa,17 °C,Fog. Mild.
Frankfurt,16 °C,Passing clouds. Refreshingly cool.
New Delhi,29 °C,Fog. Warm.
Adelaide,17 °C,Cool.
Guatemala City,19 °C,Passing clouds. Mild.
New Orleans,29 °C,Clear. Warm.
Algiers,28 °C,Partly sunny. Warm.
Halifax,18 °C,Mostly cloudy. Mild.
New York,20 °C,Clear. Mild.
Almaty,30 °C,Clear. Pleasantly warm.
Hanoi,27 °C,Sprinkles. Broken clouds. Warm.
Oslo,13 °C,Passing clouds. Cool.
Amman,25 °C,Haze. Warm.
Harare,15 °C,Clear. Refreshingly cool.
Ottawa,14 °C,Passing clouds. Cool.
Amsterdam,16 °C,Sunny. Cool.
Havana,25 °C,Passing clouds. Warm.
Paris,19 °C,Passing clouds. Mild.
Anadyr,13 °C,Scattered clouds. Refreshingly cool.
Helsinki,13 °C,Passing clouds. Cool.
Perth,15 °C,Broken clouds. Refreshingly cool.
Anchorage,17 °C,Overcast. Refreshingly cool.
Hong Kong,32 °C,Passing clouds. Hot.
Philadelphia,20 °C,Passing clouds. Mild.
Ankara,21 °C,Passing clouds. Mild.
Honolulu,26 °C,Passing clouds. Warm.
Phoenix,27 °C,Passing clouds. Warm.
Antananarivo,18 °C,Sunny. Mild.
Houston,26 °C,Clear. Warm.
Prague,16 °C,Sunny. Refreshingly cool.
Asuncion,4 °C,Fog. Chilly.
Indianapolis,14 °C,Clear. Cool.
Reykjavik,15 °C,Light rain. Broken clouds. Cool.
Athens,27 °C,Passing clouds. Pleasantly warm.
Islamabad,27 °C,Haze. Warm.
Rio de Janeiro,22 °C,Mostly cloudy. Mild.
Atlanta,17 °C,Clear. Mild.
Istanbul,25 °C,Passing clouds. Warm.
Riyadh,39 °C,Sunny. Extremely hot.
Auckland,12 °C,Passing clouds. Cool.
Jakarta,31 °C,Scattered clouds. Hot.
Rome,23 °C,Sunny. Mild.
Bangkok,32 °C,Scattered clouds. Hot.
Jerusalem,24 °C,Mild.
Salt Lake City,26 °C,Passing clouds. Pleasantly warm.
Barcelona,25 °C,Passing clouds. Warm.
Johannesburg,13 °C,Clear. Cool.
San Francisco,16 °C,Passing clouds. Cool.
Beijing,31 °C,Hot.
Karachi,31 °C,Broken clouds. Warm.
San Juan,28 °C,Passing clouds. Warm.
Beirut,30 °C,Passing clouds. Warm.
Kathmandu,26 °C,Broken clouds. Warm.
San Salvador,26 °C,Clear. Warm.
Belgrade,18 °C,Scattered clouds. Mild.
Kingston,29 °C,Warm.
Santiago,4 °C,Fog. Chilly.
Bengaluru,25 °C,Scattered clouds. Warm.
Kinshasa,22 °C,Passing clouds. Mild.
Santo Domingo,28 °C,Passing clouds. Warm.
Berlin,16 °C,Scattered clouds. Cool.
Kiritimati,27 °C,Passing clouds. Warm.
São Paulo,13 °C,Partly cloudy. Cool.
Bogota,9 °C,Passing clouds. Cool.
Kolkata,32 °C,Scattered clouds. Hot.
Seattle,22 °C,Clear. Mild.
Boston,21 °C,Passing clouds. Mild.
Kuala Lumpur,33 °C,Passing clouds. Hot.
Seoul,31 °C,Scattered clouds. Warm.
Brasilia,14 °C,Clear. Cool.
Kuwait City,36 °C,Haze. Extremely hot.
Shanghai,37 °C,Passing clouds. Extremely hot.
Brisbane,20 °C,Cool.
Kyiv,13 °C,Overcast. Cool.
Singapore,33 °C,Scattered showers. Partly sunny. Hot.
Brussels,19 °C,Sunny. Mild.
La Paz,4 °C,Fog. Chilly.
Sofia,13 °C,Passing clouds. Cool.
Bucharest,21 °C,Sunny. Mild.
Lagos,24 °C,Scattered clouds. Mild.
St. John's,18 °C,Mostly cloudy. Mild.
Budapest,19 °C,Passing clouds. Mild.
Lahore,26 °C,Rain. More clouds than sun. Warm.
Stockholm,13 °C,Passing clouds. Cool.
Buenos Aires,11 °C,Clear. Cool.
Las Vegas,30 °C,Overcast. Pleasantly warm.
Suva,30 °C,Scattered clouds. Warm.
Cairo,28 °C,Scattered clouds. Warm.
Lima,16 °C,Fog. Cool.
Sydney,21 °C,Sunny. Mild.
Calgary,16 °C,Passing clouds. Cool.
Lisbon,19 °C,Passing clouds. Mild.
Taipei,33 °C,Broken clouds. Hot.
Canberra,17 °C,Sunny. Mild.
London,17 °C,Sunny. Mild.
Tallinn,13 °C,Partly sunny. Cool.
Cape Town,12 °C,Sunny. Cool.
Los Angeles,21 °C,Passing clouds. Mild.
Tashkent,34 °C,Clear. Extremely hot.
Caracas,26 °C,Passing clouds. Warm.
Madrid,24 °C,Sunny. Mild.
Tegucigalpa,21 °C,Passing clouds. Mild.
Casablanca,22 °C,Scattered clouds. Mild.
Managua,26 °C,Passing clouds. Warm.
Tehran,32 °C,Sunny. Hot.
Chicago,14 °C,Clear. Cool.
Manila,28 °C,Overcast. Warm.
Tokyo,31 °C,Passing clouds. Warm.
Copenhagen,17 °C,Clear. Mild.
Melbourne,11 °C,Light rain. Partly sunny. Cool.
Toronto,14 °C,Passing clouds. Cool.
Dallas,29 °C,Passing clouds. Warm.
Mexico City,14 °C,Mostly cloudy. Cool.
Vancouver,16 °C,Clear. Cool.
Dar es Salaam,26 °C,Broken clouds. Warm.
Miami,28 °C,Passing clouds. Warm.
Vienna,17 °C,Sunny. Mild.
Darwin,29 °C,Sunny. Warm.
Minneapolis,14 °C,Passing clouds. Cool.
Warsaw,13 °C,Scattered clouds. Cool.
Denver,15 °C,Passing clouds. Cool.
Minsk,12 °C,Partly sunny. Cool.
Washington DC,18 °C,Passing clouds. Mild.
Detroit,13 °C,Clear. Cool.
Montevideo,8 °C,Clear. Cool.
Winnipeg,12 °C,Cool.
Dhaka,33 °C,Partly sunny. Hot.
Montréal,16 °C,Partly cloudy. Cool.
Yangon,31 °C,Partly sunny. Warm.
Doha,42 °C,Passing clouds. Extremely hot.
Moscow,11 °C,Overcast. Cool.
Zagreb,17 °C,Sunny. Mild.
Dubai,40 °C,Sunny. Extremely hot.
Mumbai,27 °C,Overcast. Warm.
Zürich,17 °C,Mild.
Dublin,16 °C,Broken clouds. Cool.
Nairobi,18 °C,Partly sunny. Mild.
